CODIGOESTR;ESTRUCT;HORASFUNC1;HORASFUNC2;DIASFUNCME;SUBTIPO;SUBT;Luminaria.BAJOMEDICION;Luminaria.POTENCIA;POTENCIA_2;ALIMENTA_5;ALIM;SUBTIPO_1;TRAF;VOLTAJE;POTENCIA TRAFO;TRAFO;KWH;;;;;;;;
APO0311;LDPS100ACC;12;0;100;4;Sodio Cerrada;0;100;0;03GN020T11;Guanujo - Cuatro Esquinas;1;Transformador Monofásico en poste;7.97 kV;25;0303295;36;;;;;;;;
APO0375;LDOS250ACC;12;0;100;4;Sodio Cerrada;0;250;0;03CO040T12;Cochabamba - Asuncion;1;Transformador Monofásico en poste;7.97 kV;37.5;0308244;90;;;;;;;;
APO0374;LDOS100ACC;12;0;100;4;Sodio Cerrada;0;100;0;03GN020T13;Guanujo Central;1;Transformador Monofásico en poste;7.97 kV;37.5;0303292;36;;;;;;;;
APO0312;LDPS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03GR010T11;Guaranda - Vinchoa;5;Transformador Trifásico en poste;13.8 kV;37.5;0303292;36;;;;;;;;
APO0305;LDPS150PCC;12;0;100;4;Sodio Cerrada;0;100;0;03CA050T13;Caluma - Pasagua;1;Transformador Monofásico en poste;7.97 kV;37.5;0303292;36;;;;;;;;
APO0312;LDPS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03SI060T12;Sicoto - San Pablo;1;Transformador Monofásico en poste;7.97 kV;37.5;0303292;36;;;;;;;;
APO0312;LDPS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03EC030T14;Echeandía - Reserva 2 (Camaron);1;Transformador Monofásico en poste;7.62 kV;37.5;0303292;36;;;;;;;;
APO0312;LDPS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03GN020T15;Guanujo - Simiatug;1;Transformador Monofásico en poste;7.97 kV;37.5;0303292;36;;;;;;;;
APO0304;LDPS100PCC;12;0;100;4;Sodio Cerrada;0;100;0;03SI060T12;Sicoto - San Pablo;1;Transformador Monofásico en poste;7.97 kV;37.5;0308244;36;;;;;;;;
APO0310;LCPS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03GR010T11;Guaranda - Vinchoa;1;Transformador Monofásico en poste;7.97 kV;37.5;0308244;36;;;;;;;;
APO0309;LCPS100ACC;12;0;100;3;Sodio Abierta;0;100;0;03SI060T11;Sicoto - Chillanes;1;Transformador Monofásico en poste;7.97 kV;25;0303295;36;;;;;;;;
APO0110;LDSM125ACA;12;0;100;2;Mercurio Abierta;0;100;0;03SI060T11;Sicoto - Chillanes;1;Transformador Monofásico en poste;7.97 kV;25;0303437;36;;;;;;;;
APO0379;LDOS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03SI060T12;Sicoto - San Pablo;1;Transformador Monofásico en poste;7.97 kV;25;0303437;36;;;;;;;;
APO0309;LCPS100ACC;12;0;100;4;Sodio Cerrada;0;100;0;03SI060T11;Sicoto - Chillanes;1;Transformador Monofásico en poste;7.97 kV;25;0303437;36;;;;;;;;
APO0110;LDSM125ACA;12;0;100;2;Mercurio Abierta;0;400;0;03SI060T11;Sicoto - Chillanes;1;Transformador Monofásico en poste;7.97 kV;10;0303319;144;;;;;;;;
APO0314;LDPS400ACC;12;0;100;3;Sodio Abierta;0;100;0;03SI060T11;Sicoto - Chillanes;1;Transformador Monofásico en poste;7.97 kV;15;0303352;36;;;;;;;;
APO0309;LCPS100ACC;12;0;100;4;Sodio Cerrada;0;100;0;03SI060T11;Sicoto - Chillanes;1;Transformador Monofásico en poste;7.97 kV;15;0302651;36;;;;;;;;
APO0379;LDOS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03EC030T14;Echeandía - Reserva 2 (Camaron);1;Transformador Monofásico en poste;7.97 kV;15;0302651;36;;;;;;;;
APO0379;LDOS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03EC030T14;Echeandía - Reserva 2 (Camaron);1;Transformador Monofásico en poste;7.97 kV;3;0303430;36;;;;;;;;
APO0379;LDOS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03EC030T14;Echeandía - Reserva 2 (Camaron);1;Transformador Monofásico en poste;7.97 kV;15;0302651;36;;;;;;;;
APO0374;LDOS100ACC;12;0;100;4;Sodio Cerrada;0;100;0;03EC030T11;Echeandía - Las Naves;1;Transformador Monofásico en poste;7.97 kV;15;0302651;36;;;;;;;;
APO0379;LDOS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03EC030T11;Echeandía - Las Naves;1;Transformador Monofásico en poste;7.97 kV;15;0302651;36;;;;;;;;
APO0379;LDOS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03EC030T11;Echeandía - Las Naves;1;Transformador Monofásico en poste;7.97 kV;15;0303554;36;;;;;;;;
APO0374;LDOS100ACC;12;0;100;4;Sodio Cerrada;0;100;0;03SI060T11;Sicoto - Chillanes;1;Transformador Monofásico en poste;7.97 kV;15;0302651;36;;;;;;;;
APO0379;LDOS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03EC030T11;Echeandía - Las Naves;1;Transformador Monofásico en poste;7.97 kV;10;0303929;36;;;;;;;;
APO0379;LDOS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03EC030T11;Echeandía - Las Naves;1;Transformador Monofásico en poste;7.97 kV;10;0303929;36;;;;;;;;
APO0379;LDOS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03EC030T11;Echeandía - Las Naves;1;Transformador Monofásico en poste;7.97 kV;10;0303929;36;;;;;;;;
APO0375;LDOS250ACC;12;0;100;4;Sodio Cerrada;0;100;0;03EC030T14;Echeandía - Reserva 2 (Camaron);5;Transformador Trifásico en poste;13.2 kV;15;0308114;36;;;;;;;;
APO0375;LDOS250ACC;12;0;100;4;Sodio Cerrada;0;100;0;03GN020T15;Guanujo - Simiatug;1;Transformador Monofásico en poste;7.97 kV;25;0303603;36;;;;;;;;
APO0379;LDOS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03GR010T11;Guaranda - Vinchoa;1;Transformador Monofásico en poste;7.62 kV;10;0307293;36;;;;;;;;
APO0310;LCPS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03CO040T11;Cochabamba - San Miguel;1;Transformador Monofásico en poste;7.97 kV;10;0307293;36;;;;;;;;
APO0312;LDPS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03GR010T12;Guaranda - Cdla. 1° de Mayo;5;Transformador Trifásico en poste;13.8 kV;25;0303304;36;;;;;;;;
APO0312;LDPS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03GR010T12;Guaranda - Cdla. 1° de Mayo;5;Transformador Trifásico en poste;13.8 kV;25;0303304;36;;;;;;;;
APO0312;LDPS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03GR010T12;Guaranda - Cdla. 1° de Mayo;5;Transformador Trifásico en poste;13.8 kV;25;0303304;36;;;;;;;;
APO0617;LDOS150ADC;6;6;100;4;Sodio Cerrada;0;100;105;03GN020T11;Guanujo - Cuatro Esquinas;1;Transformador Monofásico en poste;7.97 kV;25;0303304;37;;;;;;;;
APO0374;LDOS100ACC;12;0;100;4;Sodio Cerrada;0;250;0;03GN020T11;Guanujo - Cuatro Esquinas;1;Transformador Monofásico en poste;7.97 kV;25;0303304;90;;;;;;;;
APO0379;LDOS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03SI060T11;Sicoto - Chillanes;1;Transformador Monofásico en poste;7.97 kV;25;0303304;36;;;;;;;;
APO0379;LDOS150ACC;12;0;100;4;Sodio Cerrada;0;175;0;03SI060T11;Sicoto - Chillanes;1;Transformador Monofásico en poste;7.97 kV;15;0302640;63;;;;;;;;
APO0312;LDPS150ACC;12;0;100;4;Sodio Cerrada;0;250;0;03CO040T12;Cochabamba - Asuncion;1;Transformador Monofásico en poste;7.62 kV;5;0302649;90;;;;;;;;
APO0311;LDPS100ACC;12;0;100;4;Sodio Cerrada;0;70;0;03CO040T12;Cochabamba - Asuncion;5;Transformador Trifásico en poste;13.8 kV;5;0303344;25;;;;;;;;
APO0312;LDPS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03CO040T12;Cochabamba - Asuncion;1;Transformador Monofásico en poste;7.97 kV;10;0303348;36;;;;;;;;
APO0312;LDPS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03CO040T12;Cochabamba - Asuncion;1;Transformador Monofásico en poste;7.97 kV;10;0303348;36;;;;;;;;
